epi_year,epi_week,est_count,epi_date_start,epi_date_end
2023,1,5456,1/2/2023,1/8/2023
2023,2,3876,1/9/2023,1/15/2023
2023,3,2518,1/16/2023,1/22/2023
2023,4,1825,1/23/2023,1/29/2023
2023,5,2992,1/30/2023,2/5/2023
2023,6,2881,2/6/2023,2/12/2023
2023,7,4093,2/13/2023,2/19/2023
2023,8,4471,2/20/2023,2/26/2023
2023,9,4426,2/27/2023,3/5/2023
2023,10,10352,3/6/2023,3/12/2023
2023,11,10464,3/13/2023,3/19/2023
2023,12,14467,3/20/2023,3/26/2023
2023,13,28410,3/27/2023,4/2/2023
2023,14,16018,4/3/2023,4/9/2023
2023,15,26072,4/10/2023,4/16/2023
2023,16,27818,4/17/2023,4/23/2023
2023,17,23157,4/24/2023,4/30/2023
2023,18,22476,5/1/2023,5/7/2023
2023,19,23531,5/8/2023,5/14/2023
2023,20,20767,5/15/2023,5/21/2023
2023,21,14851,5/22/2023,5/28/2023
2023,22,8531,5/29/2023,6/4/2023
2023,23,10432,6/5/2023,6/11/2023
2023,24,6717,6/12/2023,6/18/2023
2023,25,6882,6/19/2023,6/25/2023
2023,26,4302,6/26/2023,7/2/2023
2023,27,8544,7/3/2023,7/9/2023
2023,28,5632,7/10/2023,7/16/2023
